Gender;GivenName;Surname;City;StreetAddress;ZipCode;Username;Password;Age;Birthday;Occupation;Zarobki
male;Jaromir;Walczak;Łódź;ul. Płytka 130;93-371;Apereens;AiGeis1Th;71;12.09.1945;Glass repairer;81524
male;Ignacy;Nowakowski;Bydgoszcz;ul. Lipowa 137;85-062;Deve1957;yuuX4Dee4;60;1/28/1957;Web developer;99189
male;Gustaw;Kamiński;Częstochowa;ul. Diamentowa 33;42-280;Youbtlears1937;shehie0V;80;08.06.1937;Clerk typist;9014
male;Gabrys;Sobczak;Bielsko-Biała;ul. Pocztowa 39;43-309;Beatems;yiuXoo1Ohch;54;1/31/1963;Chief information officer;4504
male;Friderich;Woźniak;Łowicz;ul. 3 Maja 6;99-400;Lapet1987;Hohweiv1ch;30;08.07.1987;Practical nurses;35771
male;Mieszko;Kozłowski;Warszawa;ul. Filipinki 141;02-207;Poved1982;Aixol8qu;35;4/23/1982;Social science research assistant;61882
male;Kacper;Kwiatkowski;Łódź;ul. Juranda ze Spychowa 150;92-436;Therling;Aighae6woos;74;3/15/1943;Portrait photographer;40197
male;Borys;Kaczmarek;Częstochowa;ul. Ciechanowska 67;42-221;Hancrinum1949;muqu2Athi8jei;68;05.08.1949;Computer technology trainer;20779
male;Aleksy;Kwiatkowski;Gliwice;ul. Chatka Puchatka 140;44-109;Neand1938;Ni8jae3vaik;78;11/21/1938;Circulation assistant;59576
male;Aleksy;Kaczmarek;Łódź;ul. Radłowa 39;91-335;Mosely78;Luof1choodoo;39;01.12.1978;Transplant nurse;47624
male;Jaropełk;Dudek;Łódź;ul. Rajdowa 119;94-003;Worence;aiKei0iezee;45;02.07.1972;Refractory materials repairer;19247
male;Szczęsny;Czerwinski;Warszawa/Wesoła;ul. Krasickiego Ignacego 1;05-075;Lagnity;oogau1ieTh;66;05.12.1951;Magistrate;76261
male;Witołd;Nowak ;Warszawa;ul. Celna 39;00-262;Youdger;IeL4waaw5vie;71;12/23/1945;Maintenance machinist;66544
male;Friderich;Chmielewski;Wrocław;ul. Wybrzeże Conrada Korzeniowskiego 141;50-226;Abselithat;aeQueu1Lei;78;11.08.1938;Aircraft electronics specialist;73515
female;Stefcia;Kozłowska;Wrocław;ul. Garncarska 103;50-156;Foolve34;eghah3eePoo;82;10.01.1934;Metal-refining furnace operator;5268
female;Marcelina;Walczak;Kraków;ul. Składowa 15;30-016;Blace1940;taejie3Io0;77;01.06.1940;Public relations specialist;63847
male;Frydryk;Dudek;Poznań;ul. Szamarzewskiego Augustyna 13;60-568;Andismake60;Zai2soh0oh;57;1/21/1960;Mathematical technician;54130
male;Sergiusz;Kalinowski;Rybnik;ul. Chrószcza Franciszka 47;44-200;Hisavent;mai6Gae2;69;12/22/1947;Desktop publishing editor;27248
female;Jowita;Grabowska;Łódź;ul. Kłosowa 146;91-230;Maged1978;caih3ekieQu;39;4/23/1978;Administrative supervisor;74441
male;Szczęsny;Pawłowski;Łódź;ul. Alpejska 1;92-003;Killaimpon94;jie5agahSai;23;05.12.1994;Psychologist;38262
male;Janusz;Michalski;Warszawa;ul. Filtrowa 41;00-611;Bramety;theubahQu0c;64;9/25/1952;Soil scientist;91790
female;Elżbieta;Michalska;Koszalin;ul. Lechicka 54;75-832;Thateled;iexaif4ieH;29;07.12.1988;Concrete paving machine operator;96591
male;Miron;Grabowski;Kraków;ul. Bór 6;30-398;Himanxim;Tish6zuS;67;03.07.1950;Legal nurse consultant;43985
male;Jaropełk;Kwiatkowski;Poznań;ul. Niestachowska 84;60-619;Fars1957;zah5Aixei;59;10/17/1957;Chief executive;15586
male;Makary;Czerwinski;Olkusz;ul. Krasińskiego 51;32-305;Deforgand;Ohngae6oo;30;01.10.1987;Booth cashier;25024
female;Bożena;Symanska;Koszalin;ul. Morska 18;75-218;Theirse;if3Veihee;51;10/27/1965;Support staff clerk;99643
female;Ruta;Nowak ;Pruszków;ul. Kościuszki 104;05-800;Morselp83;phahn9eiZah;34;05.11.1983;Real property assessor;4345
female;Stefcia;Adamska;Bydgoszcz;ul. Brzoskwiniowa 80;85-362;Tomentow;ein1ieXooJ;67;6/18/1950;Mapping technician;93103
male;Wielisław;Wojciechowski;Kraków;ul. Sienna 73;31-041;Hatchat;jaekuba7Z;83;03.07.1934;Procurement technician;61776
male;Friderich;Szczepański;Warszawa;ul. Grabowskiego Antoniego 21;00-519;Beekese1972;aeb0Aig5;45;4/24/1972;Hospital attendant;59542
male;Frydrych;Adamski;Katowice;ul. Łososiowa 101;40-748;Youred;ohMu7eech6r;33;10.11.1983;Assignment clerk;60943
male;Hainrich;Grabowski;Poznań;ul. Dunajecka 80;60-413;Perrid;hooCh2OoH;64;10/22/1952;Range conservationist;2951
male;Hieronim;Woźniak;Białystok;ul. Grabówka 26;15-524;Famesonswed42;Quiephee1;75;4/24/1942;Cleaning, washing, and metal pickling equipment operator;51248
male;Cyryl;Chmielewski;Wrocław;ul. Palestyńska 77;52-133;Gratchim;Phi2Iqu8oek;42;1/15/1975;Tow truck dispatcher;85625
male;Michał;Adamczyk;Zielona Góra;ul. Kukułcza 49;65-472;Columponce;Fie2wooth;27;10/25/1989;Developmental disabilities nurse;82890
male;Witołd;Czerwinski;Warszawa;ul. Wincentego 61;03-526;Frocarephey;Ohkaishaeb9;51;05.02.1966;Water and wastewater treatment plant and system operator;14961
male;Bartosz;Symanski;Wrocław;ul. Pachnąca 77;52-242;Thelink;rouS5wich;36;10/21/1980;Residence leasing agent;13427
